event_id,home_id,device_id,timestamp,sensor_value,event_type,is_manual,extra_data,ingested_at
d4ae2a28-6c45-45fb-9a1b-420c84bf48cc,HOME_001,DEV_BEDROOM3_971e0,2025-03-06 17:54:00,22.56,temperature,False,,2025-03-06 17:54:17
c4431fa0-78fa-4bd8-b98c-87f98739595c,HOME_002,DEV_BEDROOM3_a4731,2025-03-07 07:16:00,19.22,temperature,False,,2025-03-07 07:16:14
f5eed934-874b-4bc3-96c5-c9df10c1626d,HOME_002,DEV_BEDROOM2_7e370,2025-03-02 11:42:00,30.02,temperature,False,,2025-03-02 11:42:07
2081d44e-4805-4dd8-a6f3-ab27fe6e8385,HOME_002,DEV_BEDROOM3_a4731,2025-03-24 11:20:00,20.12,temperature,False,,2025-03-24 11:20:10
ed884025-6e40-4677-837e-3ee003098864,HOME_001,DEV_LIVING_ROOM_01b8b,2025-03-28 22:53:00,31.28,temperature,False,,2025-03-28 22:53:03
7f43b2ff-ac26-49a5-b773-b23b928b2472,HOME_002,DEV_KITCHEN_12aa5,2025-03-16 22:51:00,293.0,light_level,False,,2025-03-16 22:51:11
9584206d-578d-4f83-844f-d358d5f5ed95,HOME_001,DEV_WASHROOM2_9b97f,2025-03-24 22:11:00,180.04,distance_measurement,False,,2025-03-24 22:11:20
4059c24a-b31a-498e-8638-17d7399fa062,HOME_002,DEV_WASHROOM4_d9865,2025-03-27 12:16:00,120.83,distance_measurement,False,,2025-03-27 12:16:10
4c87f5e9-3432-4232-a5e1-7a421cee187e,HOME_001,DEV_LIVING_ROOM_01b8b,2025-03-16 23:38:00,22.81,temperature,False,,2025-03-16 23:38:20
db2b6410-8cd0-4c6b-8172-b854f0825edc,HOME_001,DEV_BEDROOM1_c74b2,2025-03-20 03:31:00,20.77,temperature,False,,2025-03-20 03:31:23
03aaa224-2d44-4bfc-80ea-4b7983f024f2,HOME_002,DEV_WASHROOM2_8ce7e,2025-03-14 11:07:00,184.23,distance_measurement,False,,2025-03-14 11:07:06
41da1970-c0af-4c43-9bc9-0eb6bb04d7d0,HOME_001,DEV_BEDROOM4_97e85,2025-03-03 13:34:00,20.08,temperature,False,,2025-03-03 13:34:28
69a9ae09-81ca-4087-b519-dfadf613afaa,HOME_001,DEV_WASHROOM2_9b97f,2025-03-08 12:39:00,140.28,distance_measurement,False,,2025-03-08 12:39:08
f023a828-6521-4018-a405-430729d769ae,HOME_002,DEV_BEDROOM1_d6960,2025-03-27 03:50:00,28.24,temperature,False,,2025-03-27 03:50:27
b83d4b7d-e98b-497c-951e-52d91ca0f78f,HOME_001,DEV_LIVING_ROOM_4e058,2025-03-21 20:07:00,,motion_detected,False,Occupant triggered Motion Sensor in living_room,2025-03-21 20:07:30
be242770-5dfa-483a-aa7c-678e8bc92284,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-04 06:20:00,18.81,temperature,False,,2025-03-04 06:20:14
cab37538-31b8-4098-9c45-698f0dc65007,HOME_001,DEV_WASHROOM1_20cb6,2025-03-19 18:17:00,93.53,distance_measurement,False,,2025-03-19 18:17:03
4b9f9898-a007-41c4-a3e0-02884680faf5,HOME_002,DEV_KITCHEN_12aa5,2025-03-21 23:48:00,297.0,light_level,False,,2025-03-21 23:48:24
13836038-f92a-43aa-aeb9-d97e45e7639a,HOME_001,DEV_KITCHEN_7a3dc,2025-03-16 06:14:00,704.0,light_level,False,,2025-03-16 06:14:15
4adc3663-e509-4132-acb5-7f2d0a8810d4,HOME_002,DEV_LIVING_ROOM_215f9,2025-03-15 15:59:00,,voice_detected,False,Occupant triggered Voice Sensor in living_room,2025-03-15 15:59:06
87ad6b36-2f3d-4496-944b-58155d6307f0,HOME_001,DEV_BEDROOM1_c74b2,2025-03-24 12:58:00,25.18,temperature,False,,2025-03-24 12:58:17
54a46994-5782-4c98-8296-ee18f98911fa,HOME_002,DEV_BEDROOM5_820b7,2025-03-27 04:57:00,32.52,temperature,False,,2025-03-27 04:57:05
be6d737b-504f-490b-9fd8-c6beb2ba3f5b,HOME_002,DEV_WASHROOM3_97bba,2025-03-26 03:07:00,29.8,distance_measurement,False,,2025-03-26 03:07:18
7e75dd6d-877e-4b8a-b848-4164ffb31622,HOME_001,DEV_WASHROOM2_9b97f,2025-03-23 12:42:00,156.71,distance_measurement,False,,2025-03-23 12:42:20
04e04782-ae09-4958-84e7-be86754408d8,HOME_001,DEV_BEDROOM3_971e0,2025-03-04 13:57:00,25.21,temperature,False,,2025-03-04 13:57:11
8fc1fbb7-eebd-4dc7-ac90-d16ad14822b8,HOME_001,DEV_KITCHEN_7a3dc,2025-03-18 22:57:00,946.0,light_level,False,,2025-03-18 22:57:22
946ab0fd-e4c1-4585-9a6c-29271f865150,HOME_001,DEV_WASHROOM2_9b97f,2025-03-18 00:53:00,28.06,distance_measurement,False,,2025-03-18 00:53:14
d5e0a108-e4f3-4700-aaaf-8b6a7ba0824e,HOME_001,DEV_BEDROOM3_971e0,2025-03-29 20:32:00,21.59,temperature,False,,2025-03-29 20:32:26
0990245c-e288-4f23-8435-9691d65678ad,HOME_002,DEV_BEDROOM2_7e370,2025-03-14 11:12:00,28.65,temperature,False,,2025-03-14 11:12:19
0a1a050a-17ed-447e-8c17-88b30d02d6f9,HOME_001,DEV_BEDROOM4_97e85,2025-03-05 17:03:00,32.26,temperature,False,,2025-03-05 17:03:00
e94973ad-c468-4af1-849e-8e5adf1bb56d,HOME_001,DEV_BEDROOM3_971e0,2025-03-18 12:12:00,28.79,temperature,False,,2025-03-18 12:12:02
40b3a0e3-fc30-4064-bb68-8cfd2141c415,HOME_001,DEV_BEDROOM1_c74b2,2025-03-09 00:34:00,22.15,temperature,False,,2025-03-09 00:34:02
4da3dab1-b72b-4703-b023-ebea6e93e5b6,HOME_002,DEV_BEDROOM3_a4731,2025-03-30 09:43:00,29.62,temperature,False,,2025-03-30 09:43:19
58da14c5-8b5e-4207-8950-dce4052f09e9,HOME_001,DEV_BEDROOM3_971e0,2025-03-09 00:56:00,28.39,temperature,False,,2025-03-09 00:56:27
ad0355d5-4ed0-4b0f-9888-ff9a3b90cf1a,HOME_001,DEV_BEDROOM1_c74b2,2025-03-23 11:39:00,22.32,temperature,False,,2025-03-23 11:39:03
c7d2f78c-3ec5-4218-9102-26180ede9082,HOME_001,DEV_KITCHEN_7a3dc,2025-03-12 06:44:00,545.0,light_level,False,,2025-03-12 06:44:25
93b635f9-8a57-4883-808e-ac82df90dab3,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-09 05:11:00,32.72,temperature,False,,2025-03-09 05:11:22
a4faba0f-e36d-490a-9af4-94ad8c38101f,HOME_002,DEV_LIVING_ROOM_12fbf,2025-03-02 15:46:00,,motion_detected,False,Occupant triggered Motion Sensor in living_room,2025-03-02 15:46:06
d39154e6-4b53-49e0-893e-4f746aab5a74,HOME_001,DEV_BEDROOM1_c74b2,2025-03-21 02:12:00,20.01,temperature,False,,2025-03-21 02:12:27
ef34eb53-2ac5-473e-9bdc-c87b2e247c64,HOME_001,DEV_WASHROOM1_20cb6,2025-03-29 19:25:00,38.18,distance_measurement,False,,2025-03-29 19:25:30
6e491443-d36f-4690-bcbb-c96bb72d6090,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-26 08:52:00,20.6,temperature,False,,2025-03-26 08:52:21
63b26f68-f223-408b-816d-7938ac9e5b04,HOME_001,DEV_BEDROOM1_c74b2,2025-03-07 04:35:00,23.77,temperature,False,,2025-03-07 04:35:09
4bff982e-e9e8-4c4f-b745-9b92d1857b63,HOME_002,DEV_BEDROOM5_820b7,2025-03-09 23:32:00,32.08,temperature,False,,2025-03-09 23:32:04
ccde2126-d01c-4c6b-9246-52439ac6644a,HOME_002,DEV_WASHROOM3_97bba,2025-03-07 21:38:00,190.01,distance_measurement,False,,2025-03-07 21:38:18
1c273700-8037-404d-95d1-14b8a3b5ba25,HOME_002,DEV_WASHROOM3_97bba,2025-03-17 15:49:00,169.11,distance_measurement,False,,2025-03-17 15:49:11
883d245a-84f0-4663-85e8-770849bef90a,HOME_002,DEV_WASHROOM2_8ce7e,2025-03-13 17:03:00,155.53,distance_measurement,False,,2025-03-13 17:03:22
35e9628d-9ed3-486e-848a-8d667599eb9f,HOME_002,DEV_WASHROOM1_6b883,2025-03-04 09:00:00,13.57,distance_measurement,False,,2025-03-04 09:00:06
947ea43e-8330-4d41-8a0a-29a7f9a0f2bd,HOME_002,DEV_WASHROOM2_8ce7e,2025-03-26 15:29:00,108.18,distance_measurement,False,,2025-03-26 15:29:18
d4664667-6bae-40dc-ab66-b8676fd53bf2,HOME_001,DEV_WASHROOM1_20cb6,2025-03-09 06:26:00,146.41,distance_measurement,False,,2025-03-09 06:26:06
27be8639-e006-4764-886c-8bd9ef7857f9,HOME_001,DEV_BEDROOM1_c74b2,2025-03-18 06:54:00,21.23,temperature,False,,2025-03-18 06:54:17
870460b0-f8ba-45cc-816d-5aa24d32d220,HOME_001,DEV_WASHROOM2_9b97f,2025-03-27 03:32:00,135.61,distance_measurement,False,,2025-03-27 03:32:23
dfc34aca-853b-4692-bb35-d7d191b1e2b8,HOME_001,DEV_WASHROOM1_20cb6,2025-03-11 07:04:00,172.01,distance_measurement,False,,2025-03-11 07:04:13
a869faf8-5e67-487f-a9f0-565db9ac0d90,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-30 12:33:00,34.32,temperature,False,,2025-03-30 12:33:16
2d98aa90-2cf2-4bae-a8be-c83d62549259,HOME_002,DEV_WASHROOM1_6b883,2025-03-05 07:14:00,107.21,distance_measurement,False,,2025-03-05 07:14:14
230bf0fb-c9cf-4515-a91e-022f7fe1a5ef,HOME_002,DEV_KITCHEN_12aa5,2025-03-29 03:54:00,571.0,light_level,False,,2025-03-29 03:54:06
5da5db4e-02c1-43e7-bcf2-29f540f3b9a0,HOME_002,DEV_WASHROOM2_8ce7e,2025-03-11 08:24:00,31.51,distance_measurement,False,,2025-03-11 08:24:13
208c0bec-be73-482e-92a2-663cc089e1f5,HOME_002,DEV_BEDROOM4_61ce6,2025-03-14 06:24:00,21.43,temperature,False,,2025-03-14 06:24:03
064f2626-d921-4451-b15f-cddde2bdd1bc,HOME_002,DEV_BEDROOM3_a4731,2025-03-20 20:27:00,33.28,temperature,False,,2025-03-20 20:27:22
9c2ce586-3e96-44c1-8bcc-23b92c73a33d,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-12 05:24:00,26.79,temperature,False,,2025-03-12 05:24:28
426d0568-6a9e-40e0-8c8f-ed537b395e60,HOME_002,DEV_LIVING_ROOM_deab2,2025-03-14 12:14:00,29.02,temperature,False,,2025-03-14 12:14:10
01c2c4a1-c3d0-4ddf-8d03-709be8b17ca0,HOME_002,DEV_BEDROOM3_a4731,2025-03-30 06:32:00,30.17,temperature,False,,2025-03-30 06:32:17
